,IMDB,url,产地,年代,片名,类别,译名,豆瓣
0,,https://www.dy2018.com/i/99198.html,中国大陆,2018,跨次元少女大作战,剧情/喜剧/爱情,Cross-DimensionLove,
1,"8.0,10,52185",https://www.dy2018.com/i/91879.html,,1986,Laputa: Castle in the Sky,动画/动作/冒险/家庭/幻想/爱情,天空之城/天空の城ラピュタ,
2,,https://www.dy2018.com/i/92114.html,,2012,Hoed to you,喜剧 / 惊悚,借你俩胆,
3,,https://www.dy2018.com/i/92117.html,,2012,Zombies Reborn,惊悚 / 恐怖,无间罪:僵尸重生,
4,,https://www.dy2018.com/i/92010.html,,2013,特殊身份,动作 / 犯罪,,
5,"8.1,10,22093",https://www.dy2018.com/i/92826.html,,2013,Blue Is the Warmest Color,剧情/爱情/同性,阿黛尔的生活/接近无限温暖的蓝(港)/ 蓝色是最温暖的颜色(台),
6,"6.3,10,1987",https://www.dy2018.com/i/93239.html,,2013,Wolf Creek 2.2013,动作/科幻/惊悚/奇幻,狼溪2,
7,"5.8,10,2152",https://www.dy2018.com/i/92921.html,,2013,Cold Comes the Night,剧情/惊悚/犯罪,汽车旅馆疯劫案,
8,,https://www.dy2018.com/i/92440.html,,2013,Police Story 2013,动作 / 爱情 / 犯罪,警察故事2013,
9,"6.2,10,4455",https://www.dy2018.com/i/93358.html,,2013,Tarzan,动画,人猿泰山,
10,"6.8,10,60",https://www.dy2018.com/i/93659.html,,2013,ルパン三世vs名探�丧偿圣� THE MOVIE/Lupin III vs Detective Conan The Movie,动画,鲁邦三世VS名侦探柯南 剧场版/雷朋三世VS名侦探柯南剧场版(港),
11,"6.7,10,13",https://www.dy2018.com/i/93489.html,,2013,烂滚夫斗烂滚妻,喜剧,Mr. & Mrs. Player,
12,"6.8,10,2311",https://www.dy2018.com/i/93289.html,,2013,"Les Garçons et Guillaume, à table.2013",喜剧,男孩们和吉约姆/妈妈要我爱男人(台),
13,"7.2,10,1038",https://www.dy2018.com/i/93134.html,,2013,Chinese Puzzle,剧情/喜剧/爱情,纽约爱情拼图(台)/中国七巧板/中国益智游戏,
14,,https://www.dy2018.com/i/92723.html,,2013,The Great Beauty,剧情/喜剧,伟大之美/堕毁之国/La grande Bellezza,
15,"7.0,10,487",https://www.dy2018.com/i/92839.html,,2013,On the Job,动作/犯罪/剧情,杀手职场/工作中,
16,,https://www.dy2018.com/i/92715.html,,2013,Love Is Beautiful,爱情,爱很美 / 爱，很美 / 美丽的背后,
17,,https://www.dy2018.com/i/93393.html,,2013,My Wife‘s a Cat,,我的老婆是只猫 / My Wife‘s a Cat,
18,,https://www.dy2018.com/i/92240.html,,2013,Bump In The Road,剧情 / 喜剧,一路顺疯,
19,,https://www.dy2018.com/i/92224.html,,,牛转乾坤,剧情 / 动画,,
20,,https://www.dy2018.com/i/94157.html,,2014,少年岳飞,动画,,
21,,https://www.dy2018.com/i/92802.html,,2013,一枝花与铁臂膊,动作/古装,Yi Zhi Huan Yu Tie Bi Bo,
22,,https://www.dy2018.com/i/93157.html,,2013,无枪,剧情/犯罪,Injustice.Undone,
23,,https://www.dy2018.com/i/93906.html,,2013,Black Mirror,惊悚 / 恐怖,,
24,,https://www.dy2018.com/i/92237.html,,2013,The Warth Of Vajra,剧情 / 动作,金刚王/金刚王：死亡救赎,
25,"6.4,10,14",https://www.dy2018.com/i/92261.html,,上映日期: 2013-11(中国大陆) / 2012-10-21(日本东京国际电影节),Don' t Expect Praises / ホメられないかも,剧情 / 动画 / 家庭 / 儿童,有人赞美聪慧，有人则不,
26,,https://www.dy2018.com/i/92121.html,,2013,Indomitable Soldiers,剧情 / 爱情 / 战争,残团,
27,,https://www.dy2018.com/i/92950.html,,2013,"Hai Qi, Da Ta Ge Gui Zi",剧情 / 战争,嗨起，打他个鬼子,
28,"6.6,10,760",https://www.dy2018.com/i/92373.html,,2013,Firestorm,动作 / 犯罪,风暴,
29,,https://www.dy2018.com/i/92242.html,,2013,Silent Witness,悬疑 / 犯罪,全民目击,
30,,https://www.dy2018.com/i/93308.html,,2013-08-30(中国大陆),Sweet Summer Love,喜剧 / 爱情,夏日示爱/两情双月,
31,,https://www.dy2018.com/i/92105.html,,2013,Farm House 81,喜剧 / 动画 / 家庭,81号农场之保卫麦咭,
32,,https://www.dy2018.com/i/94461.html,,2014,Coincidence,喜剧/悬疑,凡人烦恼,
33,,https://www.dy2018.com/i/91919.html,,,,惊悚/剧情/悬疑,,
