,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
0,7.4,836,6.6,5,剧情-儿童-家庭,中国大陆,2013
1,8.8,94474,7.7,180,纪录片,中国大陆,2015
2,6.3,203,5.9,93,动作-犯罪,爱尔兰,2015
3,6.6,78,5.6,858,剧情-悬疑-惊悚,加拿大 Canada,2016
4,5.2,201,4.8,2508,剧情-传记-动作,美国-中国大陆-加拿大,2016
5,5.1,16285,5.4,102,喜剧-动作,中国大陆,2016
6,5.5,1563,5.7,22,剧情-喜剧-奇幻,中国大陆-香港,2016
7,6.2,250,6.3,4393,动作-惊悚,美国,2016
8,6.4,47,5.8,1112,爱情-科幻,美国,2016
9,6.6,92,5.8,5088,剧情-喜剧-动作,美国,2017
10,5.2,137,5.9,1812,剧情-动作-科幻-惊悚,美国,2016
11,6.0,98,4.7,3211,剧情-惊悚-犯罪,英国-波兰-美国,2016
12,6.6,62,6.7,528,剧情-战争-爱情,英国,2016
13,7.2,274,6.1,422,剧情-爱情-音乐,比利时-卢森堡-法国,2016
14,7.3,93,7.1,3805,惊悚-犯罪,匈牙利,2016
15,7.6,1659,7.1,5538,喜剧-犯罪-冒险,爱尔兰,2016
16,9.3,1674,7.7,527,纪录片-音乐,日本-英国-美国,2016
17,7.7,119,9.7,91144,剧情-战争-冒险,土耳其,2016
18,5.4,95,4.7,1980,动作-犯罪-冒险,美国,2016
19,6.1,238,6.0,5,剧情-爱情,香港,2016
20,6.6,250,6.7,53,剧情-爱情,香港,2016
21,6.0,43,6.3,3033,动作,印度,2016
22,5.6,57,6.7,23,喜剧,台湾,2016
23,6.0,1225,4.9,426,剧情-悬疑-奇幻-惊悚,台湾,2016
24,5.3,872,6.4,48,喜剧-爱情,中国台湾,2016
25,5.9,738,5.8,300,剧情-动作-动画-奇幻,日本,2016
26,6.3,137,6.2,955,剧情-爱情,加拿大,2016
27,6.3,168,5.9,152681,剧情-历史,美国-西班牙,2016
28,6.3,333,6.8,10662,剧情-动作-犯罪,英国-法国,2016
29,5.8,1867,6.4,9583,剧情-喜剧,加拿大-西班牙,2016
30,6.4,2595,5.8,13144,惊悚-恐怖,英国-美国-多米尼加,2016
31,6.5,216,5.8,2581,剧情-喜剧-爱情,美国,2016
32,6.6,136,6.9,398,剧情-喜剧-爱情,奥地利-德国-法国,2016
33,4.5,1423,6.7,1502,动画-家庭-冒险,俄罗斯-中国大陆,2016
34,7.1,761,6.7,1001,剧情-灾难,亚美尼亚-俄罗斯,2016
35,7.2,112,6.3,3504,惊悚-恐怖,英国,2016
36,7.5,122,7.2,610,剧情-犯罪-惊悚,波兰 Poland,2016
37,7.7,47,7.4,698,剧情-喜剧,捷克-斯洛伐克,2016
38,5.6,631,4.5,230,喜剧-冒险-家庭,加拿大,2016
39,5.3,162,5.9,1983,惊悚,澳大利亚,2016
40,8.0,366,7.2,323,剧情-动画,法国,2016
41,7.3,1058,7.2,1915,剧情-同性,爱尔兰,2016
42,5.3,475,6.0,2037,剧情-喜剧-奇幻-惊悚-恐怖,英国,2016
43,6.0,164,6.4,6520,惊悚,美国,2016
44,6.3,75,5.6,1255,剧情-惊悚-恐怖,美国,2016
45,7.4,940,7.5,9072,剧情-动作-犯罪-惊悚,美国,2016
46,7.4,384,6.9,882,剧情-喜剧-爱情-奇幻,英国-美国,2016
47,4.8,83,5.9,2596,剧情-悬疑,美国,2016
48,6.5,5691,6.7,588,动作-犯罪,韩国,2016
49,7.5,7.5,7.4,304,剧情-爱情-奇幻,韩国,2016
50,5.5,454,6.3,9,剧情-爱情,中国香港,2016
51,5.2,1070,7.2,33,剧情-同性,香港,2016
52,6.3,138,6.4,912,动作-历史-战争-冒险,俄罗斯,2017
53,7.1,60498,6.7,42278,动作-科幻-冒险,法国,2017
54,7.8,118,7.0,708,剧情-奇幻-冒险,法国,2017
55,8.0,95,7.5,548,剧情-爱情-传记,法国,2017
56,9.2,18231,8.0,3451,纪录片,法国,2017
57,6.1,37427,6.1,64,动作-犯罪-悬疑,中国大陆-香港,2017
58,6.2,5004,6.7,79,传记-动作-历史-战争-古装,中国,2017
59,6.2,7417,6.2,227,剧情-爱情-战争,中国大陆-丹麦,2017
60,6.8,190,6.4,784,爱情-音乐,台湾,2017
61,6.5,28438,5.4,16,喜剧-动作,中国大陆,2017
62,6.8,10721,6.6,9,动作-犯罪,中国大陆,2017
63,7.0,57556,6.4,53,喜剧-音乐,中国大陆,2017
64,7.2,23435,6.7,37,剧情-悬疑-犯罪,中国大陆,2017
65,7.4,398054,6.7,2227,动作,中国大陆,2017
66,7.5,104929,7.1,189,剧情-动作-武侠-古装,中国大陆,2017
67,7.8,4431,7.0,28,剧情-历史-战争,中国大陆,2017
68,7.9,303592,7.3,1013,剧情-历史-战争,中国大陆,2017
69,8.0,101748,7.2,167,喜剧-动画-奇幻-冒险,中国大陆,2017
70,8.2,9132,7.5,144,纪录片,中国大陆-英国,2017
71,5.8,138731,5.7,100,喜剧-爱情,中国大陆,2017
72,3.5,3186,4.2,449,动作-犯罪-冒险,中国,2017
73,4.2,1442,5.6,53,剧情-动作-爱情-战争,中国,2017
74,5.9,4890,5.2,9,剧情-犯罪,中国大陆-香港,2017
75,4.9,11959,5.7,6,剧情-喜剧,中国大陆,2017
76,5.7,775,6.3,50,剧情-犯罪-惊悚,韩国,2017
77,6.3,484,7.1,83,剧情-历史-战争-古装,韩国,2017
78,6.5,428,7.8,39,动作-犯罪,韩国,2017
79,6.0,652,5.7,29823,喜剧-动作,美国,2017
80,6.0,108,5.3,1179,惊悚,美国,2017
81,6.0,496,6.2,1390,科幻-惊悚,美国,2017
